user_id	class
689	6
1017	6
1016	1
1015	3
1014	6
1013	1
1012	6
1011	5
1010	1
1009	4
1008	6
1007	0
1006	6
1018	0
1005	1
1003	4
1002	2
1001	0
1000	2
999	1
998	2
997	6
996	0
995	6
994	0
993	1
992	4
1004	0
1019	2
1020	1
1021	4
1048	0
1047	3
1046	6
1045	1
1044	3
1043	6
1042	1
1041	3
1040	5
1039	1
1038	2
1037	2
1036	1
1035	1
1034	1
1033	3
1032	1
1031	0
1030	3
1029	1
1028	1
1027	1
1026	2
1025	1
1024	2
1023	6
1022	1
991	1
990	3
989	2
959	1
957	1
956	2
955	1
954	2
953	2
952	6
951	2
950	1
949	6
948	6
947	2
946	2
958	1
945	4
943	5
942	0
941	1
940	6
939	6
938	0
937	1
936	6
935	6
934	6
933	1
932	1
944	1
960	1
974	1
961	0
987	1
986	6
985	6
984	1
983	2
982	0
981	0
980	0
979	1
978	6
977	6
976	4
988	1
975	6
973	3
972	0
971	0
970	1
969	6
968	4
967	1
966	0
965	6
964	6
963	6
962	1
1049	6
1051	1
1170	6
1052	1
1138	1
1137	2
1136	1
1135	1
1134	1
1133	2
1132	1
1131	6
1130	6
1129	1
1128	2
1127	1
1139	1
1126	1
1124	6
1123	6
1122	2
1121	6
1120	6
1119	4
1118	2
1117	6
1116	2
1115	1
1114	3
1113	1
1125	6
1140	6
1141	1
1142	2
1169	1
1168	1
1167	1
1166	1
1165	6
1164	2
1163	0
1162	0
1161	6
1160	1
1159	0
1158	2
1157	1
1156	1
1155	0
1154	0
1153	6
1152	6
1151	2
1150	6
1149	1
1148	6
1147	1
1146	2
1145	6
1144	6
1143	6
1112	1
1111	1
1110	1
1080	1
1078	1
1077	1
1076	1
1075	1
1074	4
1073	6
1072	0
1071	6
1070	6
1069	6
1068	2
1067	6
1079	2
1066	1
1064	0
1063	2
1062	2
1061	6
1060	1
1059	0
1058	2
1057	6
1056	2
1055	2
1054	1
1053	6
1065	1
1081	1
1095	2
1082	1
1108	1
1107	1
1106	1
1105	2
1104	0
1103	4
1102	6
1101	3
1100	1
1099	0
1098	4
1097	5
1109	4
1096	1
1094	2
1093	3
1092	1
1091	1
1090	6
1089	1
1088	2
1087	0
1086	6
1085	6
1084	1
1083	1
931	3
930	6
929	1
928	1
776	0
775	4
774	5
773	0
772	3
771	1
770	6
769	6
768	0
767	6
766	1
765	1
777	0
764	6
762	0
761	2
760	3
759	3
758	2
757	1
756	5
755	1
754	1
753	1
752	6
751	6
763	2
779	1
793	6
780	6
806	6
805	6
804	6
803	2
802	6
801	6
800	6
799	1
798	1
797	6
796	6
795	6
807	6
794	6
792	6
791	4
790	1
789	1
788	2
787	2
786	2
785	6
784	6
783	2
782	0
781	1
750	0
778	1
749	2
718	6
716	2
715	1
714	1
713	1
712	1
711	1
710	2
709	1
708	1
707	2
706	3
705	3
717	2
704	1
702	4
701	2
700	2
699	2
698	6
697	3
696	1
695	1
694	2
693	0
692	1
691	1
703	1
719	2
733	1
720	6
746	6
745	6
744	4
743	1
742	2
741	1
740	6
739	1
738	1
737	6
736	2
735	2
747	0
734	0
732	1
731	1
730	1
729	2
728	1
727	1
726	1
725	0
724	4
723	2
722	2
721	1
748	0
808	0
809	1
810	6
896	6
895	4
894	1
893	6
892	2
891	0
890	3
889	1
888	6
887	0
886	1
885	0
897	3
884	1
882	6
881	6
880	6
879	6
878	2
877	2
876	1
875	0
874	6
873	0
872	2
871	1
883	2
898	2
899	4
900	1
927	1
926	0
925	0
924	1
923	3
922	6
921	3
920	1
919	6
918	2
917	1
916	1
915	1
914	0
913	1
912	1
911	0
910	1
909	1
908	2
907	1
906	1
905	1
904	1
903	0
902	1
901	1
870	2
869	1
868	1
838	3
836	1
835	1
834	2
833	3
832	2
831	3
830	2
829	2
828	1
827	2
826	3
825	1
837	2
824	1
822	6
821	1
820	2
819	1
818	1
817	1
816	1
815	6
814	1
813	1
812	1
811	2
823	1
839	1
853	1
840	6
866	2
865	6
864	2
863	1
862	1
861	2
860	6
859	1
858	0
857	2
856	6
855	6
867	6
854	1
852	0
851	6
850	5
849	6
848	1
847	3
846	6
845	6
844	1
843	6
842	5
841	0
1050	1
1171	2
1172	6
1173	1
1374	4
1375	5
1376	0
1377	1
1378	1
1359	2
1244	1
1243	1
1242	1
1241	1
1240	1
1239	1
1238	1
1237	0
1236	1
1235	3
1234	3
1233	1
1232	1
1231	2
1230	0
1229	1
1228	6
1227	1
1226	1
1225	0
1224	1
1245	6
1247	1
1270	6
1248	1
1269	0
1268	0
1267	4
1266	1
1265	1
1264	1
1263	1
1262	1
1261	6
1260	1
1259	1
1258	1
1257	0
1256	1
1255	1
1254	2
1253	1
1252	1
1251	6
1250	3
1249	1
1223	1
1246	0
1222	1
1196	0
1194	0
1193	1
1192	0
1191	6
1190	6
1189	1
1188	2
1187	1
1186	1
1185	3
1184	1
1183	0
1182	2
1181	6
1180	2
1179	0
1178	6
1177	2
1176	1
1175	6
1174	6
1195	1
1197	6
1220	6
1198	6
1219	6
1218	0
1217	6
1216	2
1215	1
1214	0
1213	1
1212	1
1211	3
1210	0
1209	0
1208	1
1207	5
1206	1
1205	1
1204	5
1203	6
1202	1
1201	6
1200	3
1199	1
1221	1
1271	1
1272	0
1273	1
1344	3
1343	1
1342	1
1341	1
1340	3
1339	1
1338	5
1337	0
1336	6
1335	6
1334	3
1333	1
1332	6
1331	0
1330	3
1329	5
1328	6
1327	6
1326	1
1325	2
1324	6
1345	6
1346	2
1347	3
1348	1
1370	1
1369	6
1368	6
1367	4
1366	6
1365	4
1364	5
1363	1
1362	5
1361	6
1371	1
1360	6
1358	6
1357	6
1356	0
1355	1
1354	1
1353	6
1352	1
1351	6
1350	1
1349	6
1323	1
1322	0
1321	1
1296	6
1294	6
1293	1
1292	0
1291	2
1290	1
1289	2
1288	0
1287	0
1286	6
1285	0
1284	3
1283	6
1282	1
1281	6
1280	6
1279	1
1278	6
1277	3
1276	1
1275	1
1274	0
1295	6
1297	1
1320	1
1298	1
1319	1
1318	6
1317	6
1316	6
1315	0
1314	1
1313	2
1312	6
1311	0
1310	0
1309	6
1308	5
1307	6
1306	6
1305	2
1304	2
1303	6
1302	0
1301	6
1300	3
1299	1
690	6
1372	6
688	6
647	6
590	2
589	1
588	1
587	1
586	3
585	1
584	2
583	2
582	6
581	2
580	2
579	2
578	1
577	6
576	6
591	6
593	0
610	1
594	6
609	1
608	1
607	0
606	6
605	2
604	1
603	0
574	6
602	1
601	1
600	2
599	4
598	0
597	1
596	1
595	1
575	6
592	6
573	6
572	1
551	1
550	6
549	6
548	6
547	3
546	0
545	1
552	5
537	4
543	3
542	0
541	1
540	6
539	2
538	1
553	3
563	2
555	4
571	6
570	6
569	6
568	2
567	2
566	1
565	6
554	1
